# DEC     RA      z
0.544318 28.477 0.630669
0.464215 26.2037 0.743814
0.632501 37.9669 0.535896
0.651811 42.3637 0.521761
0.670892 47.5444 0.503764
0.673356 55.6109 0.479081
0.6843 56.9032 0.484575
0.616056 51.6198 0.536416
0.651811 52.7366 0.538433
0.721488 66.8459 0.465596
0.487421 40.2738 0.743928
0.659604 71.5108 0.481907
0.585057 55.4624 0.583577
0.722519 88.0319 0.476177
0.702177 84.0411 0.487252
0.658056 82.7793 0.50615
0.566378 61.5743 0.605834
0.603622 77.1585 0.545771
0.527931 56.4552 0.678501
0.633303 85.5843 0.558275
0.613764 87.2151 0.575994
0.47579 58.6809 0.712761
0.562825 83.8273 0.611906
0.574171 81.2476 0.632427
0.502892 71.2365 0.67625
0.524378 83.8601 0.655262
0.495385 82.9807 0.697748
0.46794 85.0835 0.738792
0.541339 1.32439 0.692929
0.573655 3.28013 0.698157
0.637887 4.80528 0.603879
0.692895 8.10397 0.525192
0.68195 10.9791 0.553502
0.64568 11.9849 0.595115
0.616629 13.77 0.587475
0.564946 13.3075 0.667786
0.672381 17.7827 0.57299
0.6529 19.0169 0.592235
0.670376 22.7907 0.56222
0.606373 22.9354 0.609322
0.724238 28.5091 0.518799
0.68195 28.737 0.5479
0.569931 25.8429 0.659316
0.781023 38.5021 0.469188
0.792311 42.8904 0.469398
0.542542 28.8422 0.746146
0.68556 42.2834 0.5455
0.675246 42.7587 0.568953
0.746757 53.3649 0.489001
0.744923 54.3099 0.488605
0.676965 48.7216 0.558161
0.696505 54.3685 0.531071
0.682008 54.3099 0.547494
0.645565 54.4211 0.56499
0.767042 71.7627 0.478171
0.548558 45.3425 0.692858
0.535437 43.4127 0.740947
0.677023 68.0947 0.525941
0.736615 78.149 0.502529
0.700057 75.4149 0.516817
0.553887 51.4828 0.6865
0.576463 56.9268 0.645075
0.581677 58.6214 0.649575
0.642127 86.061 0.555533
0.610555 65.4659 0.6237
0.62998 72.6217 0.607035
0.620984 88.7679 0.595467
0.595142 76.8524 0.641232
0.572222 78.3707 0.66141
0.571821 83.2489 0.668677
0.540193 89.0097 0.70042
0.798729 0.582412 0.487459
0.692093 2.99588 0.614011
0.596001 5.27677 0.681981
0.633532 8.5675 0.63009
0.691806 11.3467 0.598632
0.677481 12.1167 0.591408
0.698567 14.1414 0.577569
0.591303 13.9342 0.732717
0.652842 17.7943 0.607098
0.656338 18.9741 0.616178
0.783028 24.2362 0.49228
0.557841 19.3101 0.736985
0.744809 28.7863 0.527518
0.735927 29.1697 0.564422
0.686363 29.4457 0.580792
0.832938 36.2915 0.491419
0.844628 39.179 0.479154
0.808356 40.9342 0.498611
0.734323 39.6551 0.554151
0.622302 34.0937 0.691072
0.656567 41.179 0.614824
0.839299 55.2993 0.486692
0.792999 52.9501 0.52481
0.864225 66.8466 0.456493
0.812138 59.7607 0.512106
0.806866 71.0245 0.47237
0.599325 45.025 0.68456
0.725728 61.6979 0.535452
0.774777 64.6724 0.536768
0.599611 48.3065 0.692773
0.804402 84.8954 0.499252
0.751628 81.9298 0.51087
0.678799 57.8796 0.631105
0.706704 63.5437 0.601336
0.689514 66.11 0.60417
0.654217 60.9429 0.656267
0.696619 87.5308 0.582346
0.661724 82.8843 0.612341
0.636684 75.178 0.645548
0.605055 69.6557 0.697312
0.588209 68.2409 0.735208
0.814544 0.367782 0.526202
0.875685 3.11683 0.481961
0.750997 4.28022 0.58707
0.895627 7.26596 0.495263
0.604482 6.91067 0.732628
0.696562 9.15856 0.661444
0.824228 14.7425 0.524266
0.717878 14.9503 0.615087
0.693697 16.3581 0.620882
0.659432 16.5296 0.684363
0.849556 23.7713 0.490317
0.63571 20.417 0.693332
0.622015 21.4314 0.727247
0.674444 24.5345 0.691721
0.904853 38.0267 0.469357
0.911786 41.4741 0.451485
0.787899 36.6766 0.557187
0.692093 34.5136 0.627197
0.747445 39.7641 0.588648
0.801766 45.3778 0.542025
0.639835 34.8342 0.726459
0.868408 54.2758 0.491496
0.816779 53.4477 0.517448
0.729853 44.1675 0.622819
0.691921 42.019 0.676214
0.915511 76.4254 0.464208
0.922158 85.2504 0.458907
0.770537 57.8709 0.56706
0.883078 73.7947 0.498813
0.82016 73.8094 0.508532
0.780966 67.2972 0.542543
0.77747 63.792 0.569578
0.868179 87.8471 0.508677
0.670662 53.2897 0.68596
0.644935 52.5069 0.708583
0.813742 89.804 0.545934
0.695932 65.9223 0.628031
0.628261 57.9918 0.715199
0.73862 88.3112 0.611291
0.68642 67.4564 0.682291
0.644935 67.1845 0.718991
0.597147 68.2248 0.748768
0.627688 84.7677 0.718754
0.841476 1.03551 0.580229
0.978831 3.84065 0.457345
0.941641 5.23964 0.495914
0.974591 7.61283 0.48718
0.877405 9.52428 0.54654
0.792999 11.3588 0.610515
0.741886 13.5915 0.633495
0.99694 21.9297 0.450332
0.885771 21.3728 0.510577
